Name,Hosts,Paid,Plan,Priority,Type
Opening Psychic Abilities,"Jee Ka, Nina Moore",,,,Course
"Creating Abundance // Actualizing your Reality ","Jee Ka, Nina Moore",Yes,,3,Course
Relationships // Manifesting your ideal Partner // Harmonious connection,"Jee Ka, Nina Moore",Yes,,3,Course
Integrating Psychedelic Experience,"Jee Ka, Nina Moore",Yes,,3,Course
"Synchronicity // Living in flow ","Jee Ka, Nina Moore",Yes,,2,Course
Create Your Reality - Watch Your Language,Jee Ka,Yes,The Awakening Path (Academy%20Plans%208a6af4d2546e4519b0aa3e8dd2a9de07/The%20Awakening%20Path%20038b9996a3634498b97831150217bb96.md),2,Course
Live Channelling with Jee Ka,Jee Ka,No,,3,"Circle, Main"
Regular Meditations,"Jee Ka, Nina Moore",,,1,"Main, Regular Events"
Consciousness Talks,"Jee Ka, Nina Moore",,,1,
Men's Circle,Jee Ka,Yes,,3,"Circle, Course"
Group Clearings (Live Transmissions),Jee Ka,Yes,The Awakening Path (Academy%20Plans%208a6af4d2546e4519b0aa3e8dd2a9de07/The%20Awakening%20Path%20038b9996a3634498b97831150217bb96.md),1,"Circle, Regular Events"
Masterclass on Awakening and Tuning to the Higher Dimensions,Jee Ka,12€,,,
Meeting Your Spirit Guide,"Jee Ka, Nina Moore",,,,
