Task name,Assignee,Due,Parent-task,Priority,Project,Sprint,Status,Sub-tasks,Summary,Team
Membership Page,"Nina Moore, Astral",,Website Pages (../Inner%20Ascend%20Tasks%205d73da8fd0dd4a92a5c80fb14644109b/Website%20Pages%20b4b66307126040bf99fdabe48ec45036.md),,Website Launch (Website%20Launch%200584f494a5154646b911bd165a6bacb6.md),Sprint 2 (../Sprints%20262ee40d2e4f41eda1103e78030fc19c/Sprint%202%202cdd14d15e4b48258fe46447eee479f1.md),In progress,,No content,Content Marketing
Home Page,"Nina Moore, Astral",,Website Pages (../Inner%20Ascend%20Tasks%205d73da8fd0dd4a92a5c80fb14644109b/Website%20Pages%20b4b66307126040bf99fdabe48ec45036.md),,Website Launch (Website%20Launch%200584f494a5154646b911bd165a6bacb6.md),Sprint 1 (../Sprints%20262ee40d2e4f41eda1103e78030fc19c/Sprint%201%203949944ab60043fb8d59f188dd705af2.md),Done,,No content,Content Marketing
Training Page,"Nina Moore, Astral, Karlyn Sovied",,Website Pages (../Inner%20Ascend%20Tasks%205d73da8fd0dd4a92a5c80fb14644109b/Website%20Pages%20b4b66307126040bf99fdabe48ec45036.md),,Website Launch (Website%20Launch%200584f494a5154646b911bd165a6bacb6.md),Sprint 1 (../Sprints%20262ee40d2e4f41eda1103e78030fc19c/Sprint%201%203949944ab60043fb8d59f188dd705af2.md),Done,,No content,Content Marketing
Programs Page,"Nina Moore, Astral",,Website Pages (../Inner%20Ascend%20Tasks%205d73da8fd0dd4a92a5c80fb14644109b/Website%20Pages%20b4b66307126040bf99fdabe48ec45036.md),,Website Launch (Website%20Launch%200584f494a5154646b911bd165a6bacb6.md),Sprint 2 (../Sprints%20262ee40d2e4f41eda1103e78030fc19c/Sprint%202%202cdd14d15e4b48258fe46447eee479f1.md),In progress,,No content,Content Marketing
Individual Team Pages,"Astral, Nina Moore",,Website Pages (../Inner%20Ascend%20Tasks%205d73da8fd0dd4a92a5c80fb14644109b/Website%20Pages%20b4b66307126040bf99fdabe48ec45036.md),,Website Launch (Website%20Launch%200584f494a5154646b911bd165a6bacb6.md),Sprint 2 (../Sprints%20262ee40d2e4f41eda1103e78030fc19c/Sprint%202%202cdd14d15e4b48258fe46447eee479f1.md),Done,Natasha (../Inner%20Ascend%20Tasks%205d73da8fd0dd4a92a5c80fb14644109b/Natasha%203e8ea6b01b2a449da12aa4f8c61267ec.md),No content,Content Marketing
About Page,"Nina Moore, Astral",,Website Pages (../Inner%20Ascend%20Tasks%205d73da8fd0dd4a92a5c80fb14644109b/Website%20Pages%20b4b66307126040bf99fdabe48ec45036.md),,Website Launch (Website%20Launch%200584f494a5154646b911bd165a6bacb6.md),Sprint 1 (../Sprints%20262ee40d2e4f41eda1103e78030fc19c/Sprint%201%203949944ab60043fb8d59f188dd705af2.md),Done,,No content,Content Marketing
Events Page,"Astral, Nina Moore",,Website Pages (../Inner%20Ascend%20Tasks%205d73da8fd0dd4a92a5c80fb14644109b/Website%20Pages%20b4b66307126040bf99fdabe48ec45036.md),,Website Launch (Website%20Launch%200584f494a5154646b911bd165a6bacb6.md),Sprint 2 (../Sprints%20262ee40d2e4f41eda1103e78030fc19c/Sprint%202%202cdd14d15e4b48258fe46447eee479f1.md),In progress,,No content,Content Marketing
Membership Area Page,"Nina Moore, Astral",,Website Pages (../Inner%20Ascend%20Tasks%205d73da8fd0dd4a92a5c80fb14644109b/Website%20Pages%20b4b66307126040bf99fdabe48ec45036.md),,Website Launch (Website%20Launch%200584f494a5154646b911bd165a6bacb6.md),Sprint 2 (../Sprints%20262ee40d2e4f41eda1103e78030fc19c/Sprint%202%202cdd14d15e4b48258fe46447eee479f1.md),In progress,,No content,Content Marketing
Courses Page,"Nina Moore, Astral",,Website Pages (../Inner%20Ascend%20Tasks%205d73da8fd0dd4a92a5c80fb14644109b/Website%20Pages%20b4b66307126040bf99fdabe48ec45036.md),,Website Launch (Website%20Launch%200584f494a5154646b911bd165a6bacb6.md),Sprint 1 (../Sprints%20262ee40d2e4f41eda1103e78030fc19c/Sprint%201%203949944ab60043fb8d59f188dd705af2.md),Done,Subscribe naming & content (../Inner%20Ascend%20Tasks%205d73da8fd0dd4a92a5c80fb14644109b/Subscribe%20naming%20&%20content%207a65c9075e8f40e3a2253e37c1d5b8a6.md),No content,Content Marketing
Event Coordination,"Astral, Nina Moore",,,,Website Launch (Website%20Launch%200584f494a5154646b911bd165a6bacb6.md),,Done,Topics (../Inner%20Ascend%20Tasks%205d73da8fd0dd4a92a5c80fb14644109b/Topics%207308885252c944c8bf9da1039eec14b0.md),No content,Event Schedule
